,team,total,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,Home,index_opp,team_opp,total_opp,Pace_opp,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp,ORtg_opp,Home_opp,season,date,won
376,TOR,119,98.5,0.565,9.9,26.2,0.151,120.8,0,1,DEN,125,98.5,0.6,8.0,26.2,0.116,126.9,1,2024,2024-03-11,False
377,DEN,125,98.5,0.6,8.0,26.2,0.116,126.9,1,0,TOR,119,98.5,0.565,9.9,26.2,0.151,120.8,0,2024,2024-03-11,True
378,SAC,124,99.7,0.635,16.6,31.7,0.188,124.4,0,1,OKC,115,99.7,0.57,12.7,20.5,0.198,115.4,1,2023,2023-02-26,True
379,OKC,115,99.7,0.57,12.7,20.5,0.198,115.4,1,0,SAC,124,99.7,0.635,16.6,31.7,0.188,124.4,0,2023,2023-02-26,False
380,LAL,133,97.3,0.599,3.6,27.3,0.188,136.7,0,1,MIL,129,97.3,0.622,8.2,23.8,0.128,132.6,1,2023,2022-12-02,True
381,MIL,129,97.3,0.622,8.2,23.8,0.128,132.6,1,0,LAL,133,97.3,0.599,3.6,27.3,0.188,136.7,0,2023,2022-12-02,False
382,BOS,113,98.9,0.468,11.8,16.0,0.28,103.5,0,1,CLE,114,98.9,0.475,9.0,17.0,0.19,104.4,1,2023,2022-11-02,False
383,CLE,114,98.9,0.475,9.0,17.0,0.19,104.4,1,0,BOS,113,98.9,0.468,11.8,16.0,0.28,103.5,0,2023,2022-11-02,True
384,MIL,133,101.4,0.669,11.1,14.3,0.209,131.2,0,1,SAC,124,101.4,0.543,7.5,28.3,0.106,122.3,1,2023,2023-03-13,True
385,SAC,124,101.4,0.543,7.5,28.3,0.106,122.3,1,0,MIL,133,101.4,0.669,11.1,14.3,0.209,131.2,0,2023,2023-03-13,False
386,GSW,134,100.1,0.75,14.4,11.8,0.175,133.8,0,1,LAL,120,100.1,0.521,6.2,20.8,0.208,119.8,1,2024,2024-04-09,True
387,LAL,120,100.1,0.521,6.2,20.8,0.208,119.8,1,0,GSW,134,100.1,0.75,14.4,11.8,0.175,133.8,0,2024,2024-04-09,False
388,PHI,126,98.7,0.654,13.4,16.1,0.308,127.7,0,1,DAL,133,98.7,0.701,11.3,13.5,0.22,134.8,1,2023,2023-03-02,False
389,DAL,133,98.7,0.701,11.3,13.5,0.22,134.8,1,0,PHI,126,98.7,0.654,13.4,16.1,0.308,127.7,0,2023,2023-03-02,True
390,ATL,109,93.9,0.546,12.1,22.5,0.161,116.1,0,1,MIA,108,93.9,0.537,14.9,31.0,0.244,115.1,1,2024,2024-01-19,True
391,MIA,108,93.9,0.537,14.9,31.0,0.244,115.1,1,0,ATL,109,93.9,0.546,12.1,22.5,0.161,116.1,0,2024,2024-01-19,False
392,SAC,104,100.9,0.506,16.7,22.4,0.198,103.1,0,1,IND,107,100.9,0.545,14.4,19.1,0.112,106.1,1,2023,2023-02-03,False
393,IND,107,100.9,0.545,14.4,19.1,0.112,106.1,1,0,SAC,104,100.9,0.506,16.7,22.4,0.198,103.1,0,2023,2023-02-03,True
394,GSW,114,98.0,0.54,11.8,21.4,0.23,116.3,0,1,DEN,120,98.0,0.573,12.7,25.0,0.317,122.5,1,2024,2023-12-25,False
395,DEN,120,98.0,0.573,12.7,25.0,0.317,122.5,1,0,GSW,114,98.0,0.54,11.8,21.4,0.23,116.3,0,2024,2023-12-25,True
396,LAL,112,104.3,0.489,11.0,24.5,0.239,107.3,0,1,IND,111,104.3,0.57,14.3,13.6,0.054,106.4,1,2023,2023-02-02,True
397,IND,111,104.3,0.57,14.3,13.6,0.054,106.4,1,0,LAL,112,104.3,0.489,11.0,24.5,0.239,107.3,0,2023,2023-02-02,False
398,DET,91,97.3,0.43,11.2,10.9,0.198,93.5,0,1,ORL,113,97.3,0.646,19.4,23.3,0.278,116.1,1,2024,2024-03-03,False
399,ORL,113,97.3,0.646,19.4,23.3,0.278,116.1,1,0,DET,91,97.3,0.43,11.2,10.9,0.198,93.5,0,2024,2024-03-03,True
